id,name
1,Alfred Hitchcock
2,David Lean
3,Jean-Luc Godard
4,Ingmar Bergman
5,Stanley Kubrick
6,Billy Wilder
7,Luis Buñuel
8,Federico Fellini
9,Fritz Lang
10,Charles Chaplin
11,Jacques Rivette
12,Martin Scorsese
13,Buster Keaton
14,Akira Kurosawa
15,Woody Allen
16,Francis Ford Coppola
17,Andrei Tarkovsky
18,Carl Theodor Dreyer
19,David Lynch
20,Alain Resnais
21,Roman Polanski
22,Jean Renoir
23,Orson Welles
24,Werner Herzog
25,Rainer Werner Fassbinder
26,Joel Coen
27,Frank Capra
28,François Truffaut
29,Sergei M. Eisenstein
30,Luchino Visconti
31,Sidney Lumet
32,King Vidor
33,Tim Burton
34,Michael Powell
35,F.W. Murnau
36,Robert Bresson
37,Peter Greenaway
38,Michelangelo Antonioni
39,Kenji Mizoguchi
40,William Wyler
41,Steven Spielberg
42,Sergio Leone
43,Satyajit Ray
44,D.W. Griffith
45,Chantal Akerman
46,Ernst Lubitsch
47,John Huston
48,Jane Campion
49,Michael Curtiz
50,Max Ophüls
51,Peter Watkins
52,Masaki Kobayashi
53,Josef von Sternberg
54,Georges Méliès
55,Henri-Georges Clouzot
56,David Cronenberg
57,Pier Paolo Pasolini
58,Milos Forman
59,George Cukor
60,John Ford
61,Vittorio De Sica
62,John Cassavetes
63,Krzysztof Kieslowski
64,Mike Nichols
65,Bernardo Bertolucci
66,Hsiao-Hsien Hou
67,Wim Wenders
68,Erich von Stroheim
69,Éric Rohmer
70,Georg Wilhelm Pabst
71,Abel Gance
72,Terry Gilliam
73,Ken Burns
74,Jean Cocteau
75,Robert Altman
76,Howard Hawks
77,Yasujirô Ozu
78,Nicholas Ray
79,Theodoros Angelopoulos
80,Nicolas Roeg
81,Joseph L. Mankiewicz
82,Jean-Pierre Melville
83,Lars von Trier
84,Yimou Zhang
85,Nagisa Ôshima
86,Elia Kazan
87,Mike Leigh
88,Joseph Losey
89,Claude Chabrol
90,Kar-Wai Wong
91,Louis Malle
92,René Clair
93,Victor Sjöström
94,Chuck Jones
95,Andrzej Wajda
96,James Cameron
97,Peter Jackson
98,Miklós Jancsó
99,Chris Marker
100,Jonas Mekas
101,Alfred Hitchcock
102,David Lean
103,Jean-Luc Godard
104,Ingmar Bergman
105,Stanley Kubrick
106,Billy Wilder
107,Luis Buñuel
108,Federico Fellini
109,Fritz Lang
110,Charles Chaplin
111,Jacques Rivette
112,Martin Scorsese
113,Buster Keaton
114,Akira Kurosawa
115,Woody Allen
116,Francis Ford Coppola
117,Andrei Tarkovsky
118,Carl Theodor Dreyer
119,David Lynch
120,Alain Resnais
121,Roman Polanski
122,Jean Renoir
123,Orson Welles
124,Werner Herzog
125,Rainer Werner Fassbinder
126,Joel Coen
127,Frank Capra
128,François Truffaut
129,Sergei M. Eisenstein
130,Luchino Visconti
131,Sidney Lumet
132,King Vidor
133,Tim Burton
134,Michael Powell
135,F.W. Murnau
136,Robert Bresson
137,Peter Greenaway
138,Michelangelo Antonioni
139,Kenji Mizoguchi
140,William Wyler
141,Steven Spielberg
142,Sergio Leone
143,Satyajit Ray
144,D.W. Griffith
145,Chantal Akerman
146,Ernst Lubitsch
147,John Huston
148,Jane Campion
149,Michael Curtiz
150,Max Ophüls
151,Peter Watkins
152,Masaki Kobayashi
153,Josef von Sternberg
154,Georges Méliès
155,Henri-Georges Clouzot
156,David Cronenberg
157,Pier Paolo Pasolini
158,Milos Forman
159,George Cukor
160,John Ford
161,Vittorio De Sica
162,John Cassavetes
163,Krzysztof Kieslowski
164,Mike Nichols
165,Bernardo Bertolucci
166,Hsiao-Hsien Hou
167,Wim Wenders
168,Erich von Stroheim
169,Éric Rohmer
170,Georg Wilhelm Pabst
171,Abel Gance
172,Terry Gilliam
173,Ken Burns
174,Jean Cocteau
175,Robert Altman
176,Howard Hawks
177,Yasujirô Ozu
178,Nicholas Ray
179,Theodoros Angelopoulos
180,Nicolas Roeg
181,Joseph L. Mankiewicz
182,Jean-Pierre Melville
183,Lars von Trier
184,Yimou Zhang
185,Nagisa Ôshima
186,Elia Kazan
187,Mike Leigh
188,Joseph Losey
189,Claude Chabrol
190,Kar-Wai Wong
191,Louis Malle
192,René Clair
193,Victor Sjöström
194,Chuck Jones
195,Andrzej Wajda
196,James Cameron
197,Peter Jackson
198,Miklós Jancsó
199,Chris Marker
200,Jonas Mekas
201,Alfred Hitchcock
202,David Lean
203,Jean-Luc Godard
204,Ingmar Bergman
205,Stanley Kubrick
206,Billy Wilder
207,Luis Buñuel
208,Federico Fellini
209,Fritz Lang
210,Charles Chaplin
211,Jacques Rivette
212,Martin Scorsese
213,Buster Keaton
214,Akira Kurosawa
215,Woody Allen
216,Francis Ford Coppola
217,Andrei Tarkovsky
218,Carl Theodor Dreyer
219,David Lynch
220,Alain Resnais
221,Roman Polanski
222,Jean Renoir
223,Orson Welles
224,Werner Herzog
225,Rainer Werner Fassbinder
226,Joel Coen
227,Frank Capra
228,François Truffaut
229,Sergei M. Eisenstein
230,Luchino Visconti
231,Sidney Lumet
232,King Vidor
233,Tim Burton
234,Michael Powell
235,F.W. Murnau
236,Robert Bresson
237,Peter Greenaway
238,Michelangelo Antonioni
239,Kenji Mizoguchi
240,William Wyler
241,Steven Spielberg
242,Sergio Leone
243,Satyajit Ray
244,D.W. Griffith
245,Chantal Akerman
246,Ernst Lubitsch
247,John Huston
248,Jane Campion
249,Michael Curtiz
